NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
6,Goblet,PH_p,239,0,60,0,0,10,0,0,7,0,Goblet,CY_p,1076,0,0,5,0,0,0,0,3,19
10,Goblet,AK_p,418,0,56,0,0,0,0,42,0,8,Goblet,EL_p,418,39,0,11,0,11,0,0,0,0
4,Goblet,PH_p,0,0,81,0,0,0,11,0,4,14,Goblet,HP_p,0,14,56,0,0,6,0,0,13,0
4,Goblet,HP_p,478,16,0,0,0,0,12,61,0,0,Goblet,DF_p,0,0,56,4,0,0,6,0,0,19
6,Goblet,PH_p,0,35,16,16,0,11,0,0,0,0,Goblet,AK_p,747,0,16,0,0,0,0,37,7,0
1,Goblet,AK_p,0,0,16,15,0,6,0,56,0,0,Goblet,EL_p,0,0,0,16,0,18,0,44,0,7
1,Goblet,HP_p,508,0,39,0,0,14,0,0,0,12,Goblet,GE_p,538,0,0,11,11,0,0,0,6,0
38,Goblet,AK_p,269,0,88,0,0,12,0,0,0,8,Goblet,AK_p,0,0,60,5,0,0,0,37,6,0
45,Goblet,AK_p,0,0,56,12,0,0,0,19,0,15,Goblet,AK_p,657,0,0,0,0,12,0,0,3,14
0,Goblet,HY_p,239,47,0,0,10,0,12,0,0,0,Goblet,DF_p,209,0,21,0,0,0,16,0,10,0
6,Goblet,HP_p,0,0,21,0,0,17,0,0,6,23,Goblet,AK_p,747,0,0,10,0,0,0,0,3,13
65,Goblet,AK_p,0,16,0,14,0,0,6,0,0,22,Goblet,EL_p,0,43,62,0,4,0,6,0,0,0
11,Goblet,DF_p,717,0,0,11,12,0,10,0,0,0,Goblet,HP_p,0,0,37,0,0,17,0,0,7,12
16,Goblet,DF_p,239,51,0,0,8,0,0,0,7,0,Goblet,AN_p,0,0,0,0,10,0,0,21,15,13
26,Goblet,AK_p,837,33,0,0,0,0,0,37,6,0,Goblet,AK_p,0,0,35,0,0,13,0,0,4,22
3,Goblet,CY_p,717,0,0,0,9,20,0,0,0,7,Goblet,AK_p,866,0,35,11,0,0,0,35,0,0
6,Goblet,HY_p,0,14,0,0,15,0,6,0,0,18,Goblet,AK_p,209,56,0,0,0,0,12,0,8,0
2,Goblet,HP_p,538,41,46,0,0,7,0,0,0,0,Goblet,DF_p,478,58,0,0,8,0,0,0,7,0
21,Goblet,HY_p,0,0,0,11,9,17,0,0,0,7,Goblet,AK_p,0,0,19,0,0,0,10,0,7,22
202,Goblet,EL_p,777,19,0,15,0,0,0,0,0,12,Goblet,EL_p,0,31,0,0,0,7,0,0,4,25
4,Goblet,HP_p,0,47,0,0,0,19,12,0,4,0,Goblet,AK_p,508,0,0,0,0,12,0,42,0,12
5,Goblet,CY_p,448,16,65,0,0,0,0,44,0,0,Goblet,AN_p,777,14,0,0,0,0,0,0,6,16
3,Goblet,HP_p,568,0,42,0,10,0,9,0,0,0,Goblet,EL_p,0,33,60,0,5,0,10,0,0,0
19,Goblet,AK_p,209,60,0,14,0,0,0,0,4,0,Goblet,DF_p,0,0,0,4,5,0,0,0,16,14
0,Goblet,HP_p,478,0,56,0,9,0,0,0,4,0,Goblet,AK_p,807,0,0,10,0,6,0,35,0,0
284,Goblet,EL_p,538,31,49,0,0,0,0,21,0,0,Goblet,EL_p,0,72,16,0,5,0,12,0,0,0
5,Goblet,DF_p,866,0,0,0,0,0,5,37,0,8,Goblet,AK_p,0,49,42,0,0,15,0,33,0,0
5,Goblet,DF_p,0,18,76,4,0,0,11,0,0,0,Goblet,HP_p,986,19,0,0,0,13,0,0,0,5
9,Goblet,AN_p,0,16,53,5,17,0,0,0,0,0,Goblet,EM_f,0,31,0,5,0,0,13,0,9,0
119,Goblet,AN_p,0,0,0,0,0,12,0,21,10,13,Goblet,EL_p,0,0,69,16,4,0,0,0,0,14
17,Goblet,AK_p,0,51,62,5,0,5,0,0,0,0,Goblet,AK_p,0,0,19,11,0,20,0,0,7,0
24,Goblet,DF_p,448,0,23,0,0,0,0,0,10,14,Goblet,AK_p,299,51,0,10,0,0,0,0,0,13
1,Goblet,AN_p,0,0,42,9,14,0,0,19,0,0,Goblet,EL_p,0,0,23,4,18,0,0,0,0,21
9,Goblet,HP_p,0,19,0,0,11,0,15,0,7,0,Goblet,AK_p,807,19,37,0,0,0,0,33,0,0
26,Goblet,PH_p,299,51,60,0,8,0,0,0,0,0,Goblet,PY_p,448,35,16,0,16,0,0,0,0,0
7,Goblet,DF_p,0,45,37,9,0,0,0,0,7,0,Goblet,HP_p,0,0,67,0,5,7,0,0,10,0
14,Goblet,DF_p,0,35,0,15,0,0,12,0,4,0,Goblet,EL_p,269,0,0,0,10,14,0,0,13,0
11,Goblet,PY_p,418,64,23,0,9,0,0,0,0,0,Goblet,HY_p,0,0,44,0,13,0,18,19,0,0
0,Goblet,DF_p,568,35,0,0,4,0,15,0,0,0,Goblet,HP_p,0,39,0,0,5,12,0,56,0,0
16,Goblet,AK_p,747,18,0,0,0,0,10,47,0,0,Goblet,AK_p,478,0,32,0,0,15,0,0,6,0
6,Goblet,PH_p,0,0,37,0,14,0,0,56,4,0,Goblet,AK_p,1255,0,23,0,0,5,5,0,0,0
137,Goblet,AK_p,0,53,0,0,0,26,0,0,4,7,Goblet,EL_p,0,0,21,0,19,0,0,19,0,15
48,Goblet,GE_p,717,19,19,0,0,0,0,0,13,0,Goblet,AK_p,836,18,0,0,0,0,5,0,0,22
14,Goblet,PH_p,508,0,46,5,0,0,0,51,0,0,Goblet,AK_p,1135,33,19,0,0,0,11,0,0,0
12,Goblet,PY_p,0,31,83,0,5,0,0,0,0,7,Goblet,HP_p,0,0,0,0,9,0,5,63,6,0
12,Goblet,HY_p,0,0,23,0,0,0,10,42,9,0,Goblet,AK_p,0,31,0,13,0,11,0,42,0,0
14,Goblet,DF_p,538,16,0,0,8,0,0,54,0,0,Goblet,EM_f,269,0,56,0,10,13,0,0,0,0
0,Goblet,HY_p,0,19,0,9,0,0,10,58,0,0,Goblet,AK_p,0,35,39,9,0,0,0,0,0,15
3,Goblet,AN_p,0,37,0,0,0,11,17,0,0,14,Goblet,AK_p,0,0,0,10,0,15,0,37,0,12
5,Goblet,HP_p,0,53,0,0,10,0,0,0,6,8,Goblet,EL_p,0,47,23,15,0,14,0,0,0,0
23,Goblet,AK_p,508,0,51,0,0,0,0,37,0,8,Goblet,EL_p,0,0,56,6,4,19,0,0,0,0
1,Goblet,DF_p,956,0,37,0,9,0,0,23,0,0,Goblet,AN_p,0,0,0,0,10,7,0,35,0,18
5,Goblet,CY_p,807,0,35,0,0,14,0,0,0,12,Goblet,HP_p,508,0,0,0,20,0,6,0,0,5
1,Goblet,CY_p,508,47,0,10,0,7,0,0,0,0,Goblet,AK_p,209,68,21,0,0,0,0,0,0,12
34,Goblet,AK_p,448,47,0,0,0,12,0,16,0,0,Goblet,AK_p,299,49,0,11,0,0,0,0,0,18
208,Goblet,EL_p,0,49,0,4,0,0,16,0,3,0,Goblet,EL_p,538,14,44,0,0,0,0,0,9,0
21,Goblet,HY_p,986,16,0,0,0,0,0,42,7,0,Goblet,AK_p,448,47,0,0,0,0,0,42,4,0
8,Goblet,HY_p,0,33,42,0,10,0,0,0,0,12,Goblet,AN_p,866,0,44,0,0,0,0,19,10,0
0,Goblet,PH_p,0,16,0,0,0,21,10,0,0,12,Goblet,DF_p,0,0,37,0,0,0,10,19,10,0
147,Goblet,AK_p,0,0,0,0,0,14,15,0,4,11,Goblet,AK_p,0,16,0,0,0,13,0,0,9,15
21,Goblet,HP_p,0,54,0,0,0,12,0,0,6,5,Goblet,AK_p,836,0,44,0,0,12,12,0,0,0
6,Goblet,HP_p,1105,0,32,0,0,0,12,19,0,0,Goblet,PY_p,299,18,0,0,0,0,22,0,6,0
18,Goblet,HY_p,687,31,0,0,10,0,0,0,6,0,Goblet,AK_p,837,29,19,0,0,0,0,0,0,13
63,Goblet,AK_p,239,0,88,4,0,0,18,0,0,0,Goblet,HP_p,0,51,0,0,4,0,0,0,6,13
40,Goblet,GE_p,0,0,0,0,9,17,0,21,0,22,Goblet,EL_p,717,19,0,0,0,12,0,0,0,19
7,Goblet,HP_p,747,0,0,0,5,19,5,0,0,0,Goblet,HP_p,0,0,39,0,10,12,12,0,0,0
13,Goblet,PY_p,0,0,62,0,9,7,0,0,6,0,Goblet,AK_p,896,16,51,0,0,7,0,0,0,0
24,Goblet,AN_p,0,54,0,0,10,0,16,0,3,0,Goblet,CY_p,0,33,69,9,0,0,0,0,7,0
0,Goblet,DF_p,777,56,19,0,5,0,0,0,0,0,Goblet,DF_p,568,0,39,0,0,0,0,19,10,0
21,Goblet,HP_p,0,0,0,0,0,13,0,63,7,8,Goblet,HP_p,478,0,19,0,6,0,0,0,0,26
13,Goblet,DF_p,0,35,0,5,0,0,0,0,9,16,Goblet,AK_p,986,18,39,0,0,0,0,0,7,0
4,Goblet,HY_p,209,33,0,14,0,0,0,40,0,0,Goblet,DF_p,269,0,16,0,22,0,12,0,0,0
11,Goblet,DF_p,0,0,37,0,0,0,18,23,7,0,Goblet,AN_p,239,0,0,0,0,21,5,0,0,23
0,Goblet,CY_p,0,0,42,4,20,0,0,0,4,0,Goblet,GE_p,0,37,0,0,0,0,10,0,11,8
4,Goblet,PH_p,717,0,37,0,0,0,5,40,0,0,Goblet,HP_p,0,51,0,0,0,0,15,19,4,0
7,Goblet,HY_p,209,0,21,0,0,0,10,0,0,30,Goblet,AK_p,687,33,42,0,0,0,0,0,0,8
0,Goblet,GE_p,538,0,0,0,9,0,10,0,5,0,Goblet,AK_p,0,0,60,0,0,10,0,37,0,13
1,Goblet,DF_p,299,0,53,15,0,0,0,37,0,0,Goblet,DF_p,0,0,56,9,0,0,10,0,4,0
6,Goblet,PH_p,239,51,0,0,0,7,0,51,0,0,Goblet,GE_p,269,0,0,0,10,12,0,0,10,0
43,Goblet,AK_p,807,0,16,10,0,12,0,0,0,0,Goblet,AK_p,299,0,37,0,0,10,0,0,0,20
6,Goblet,HP_p,0,0,16,0,14,13,0,0,0,19,Goblet,HP_p,0,14,21,0,16,0,0,0,0,27
9,Goblet,PY_p,0,16,0,0,0,0,11,0,3,26,Goblet,AK_p,209,0,19,0,0,26,0,0,7,0
2,Goblet,HY_p,0,45,0,6,0,19,0,0,4,0,Goblet,AK_p,807,0,21,0,0,0,12,33,0,0
25,Goblet,DF_p,508,0,0,10,0,0,6,0,0,16,Goblet,AK_p,508,0,35,0,0,6,0,0,0,21
11,Goblet,HP_p,538,14,0,0,0,23,0,42,0,0,Goblet,DF_p,777,18,0,0,9,0,11,0,0,0
1,Goblet,PY_p,568,18,0,0,19,0,5,0,0,0,Goblet,CY_p,0,33,37,0,0,12,0,0,7,0
0,Goblet,GE_p,1016,33,23,0,0,0,0,19,0,0,Goblet,PY_p,807,0,0,0,0,0,5,21,10,0
20,Goblet,AK_p,598,31,16,0,0,0,0,0,10,0,Goblet,AK_p,0,0,0,20,0,6,0,16,0,22
37,Goblet,HP_p,478,0,16,0,0,12,0,0,0,21,Goblet,AK_p,0,16,0,13,0,12,0,44,0,0
3,Goblet,PY_p,0,19,53,15,0,0,11,0,0,0,Goblet,PH_p,448,0,0,0,11,11,0,37,0,0
1,Goblet,AK_p,0,0,21,0,0,5,17,61,0,0,Goblet,DF_p,508,0,0,0,0,0,0,42,4,18
0,Goblet,DF_p,747,49,0,5,4,0,0,0,0,0,Goblet,CY_p,448,0,16,0,0,0,0,89,0,8
34,Goblet,AK_p,568,0,0,14,0,0,0,23,6,0,Goblet,AK_p,568,0,0,9,0,0,0,21,0,19
5,Goblet,PH_p,568,31,35,0,0,0,12,0,0,0,Goblet,DF_p,0,29,0,0,0,0,11,61,4,0
50,Goblet,AK_p,747,16,16,17,0,0,0,0,0,0,Goblet,AK_p,0,56,0,10,0,0,0,21,10,0
4,Goblet,HP_p,508,0,0,0,8,19,5,0,0,0,Goblet,DF_p,0,0,39,10,0,0,0,42,0,23
52,Goblet,AK_p,299,49,35,0,0,13,0,0,0,0,Goblet,PH_p,0,0,53,0,0,6,0,0,6,16
6,Goblet,HP_p,0,0,42,0,0,18,0,21,7,0,Goblet,AK_p,627,0,37,11,0,0,0,0,0,15
3,Goblet,DF_p,239,47,21,0,0,0,0,65,0,0,Goblet,PH_p,598,37,0,0,0,0,16,0,0,5
3,Goblet,DF_p,448,0,21,22,8,0,0,0,0,0,Goblet,PY_p,538,0,0,0,0,7,12,0,9,0
15,Goblet,AK_p,269,16,39,0,0,0,22,0,0,0,Goblet,HP_p,0,16,21,0,0,0,0,35,0,37
1,Goblet,DF_p,508,0,56,0,0,0,6,0,0,13,Goblet,HP_p,747,0,0,0,0,0,10,35,0,15
30,Goblet,GE_p,0,0,0,10,0,0,17,16,0,14,Goblet,AK_p,0,31,19,0,0,0,5,0,0,29
1,Goblet,HP_p,239,19,0,0,0,25,0,44,0,0,Goblet,HY_p,299,0,95,0,0,0,12,0,3,0
7,Goblet,HP_p,478,16,81,0,5,0,0,0,0,0,Goblet,DF_p,0,0,42,14,0,0,0,40,4,0
12,Goblet,HP_p,0,14,21,0,0,0,17,63,0,0,Goblet,AK_p,568,35,42,0,0,0,0,0,0,19
8,Goblet,HP_p,269,27,0,0,9,0,0,0,10,0,Goblet,CY_p,0,0,23,0,0,19,0,0,4,19
10,Goblet,PH_p,0,35,56,0,0,0,12,0,4,0,Goblet,AK_p,269,0,16,0,0,24,0,42,0,0
9,Goblet,DF_p,478,0,46,13,0,0,12,0,0,0,Goblet,EM_f,418,0,44,0,16,0,0,0,3,0
22,Goblet,DF_p,0,41,44,10,0,0,6,0,0,0,Goblet,DF_p,0,18,37,0,14,0,0,0,7,0
236,Goblet,EL_p,717,0,23,15,0,0,0,0,4,0,Goblet,EL_p,0,0,0,0,10,14,0,16,15,0
6,Goblet,HP_p,508,0,32,0,0,14,0,0,0,14,Goblet,AK_p,209,0,39,0,0,0,0,58,0,12
0,Goblet,HP_p,0,31,44,0,0,0,0,56,3,0,Goblet,AN_p,269,0,62,0,9,0,0,0,0,13
5,Goblet,GE_p,538,0,0,15,0,6,0,40,0,0,Goblet,AK_p,0,14,0,15,0,0,0,44,0,13
1,Goblet,HP_p,448,47,0,0,11,7,0,0,0,0,Goblet,EL_p,0,0,53,15,0,0,5,23,0,0
2,Goblet,CY_p,0,43,0,0,5,23,0,0,4,0,Goblet,DF_p,538,0,37,10,0,0,0,0,0,18
6,Goblet,AK_p,0,19,0,10,0,28,5,0,0,0,Goblet,PY_p,0,0,0,0,0,11,0,61,7,13
16,Goblet,HP_p,478,0,21,0,9,0,0,63,0,0,Goblet,EL_p,239,70,23,0,13,0,0,0,0,0
18,Goblet,DF_p,0,33,42,0,10,0,0,51,0,0,Goblet,AK_p,747,29,0,10,0,7,0,0,0,0
120,Goblet,AK_p,0,16,16,0,0,0,0,42,0,26,Goblet,EL_p,0,0,0,0,5,0,6,112,3,0
5,Goblet,AN_p,0,51,16,0,11,0,0,35,0,0,Goblet,AN_p,209,47,65,0,0,0,0,0,4,0
9,Goblet,HP_p,0,37,0,0,6,0,0,37,10,0,Goblet,EL_p,0,0,16,0,16,0,15,0,3,0
29,Goblet,HP_p,269,51,0,0,0,18,0,0,5,0,Goblet,HP_p,0,0,0,0,13,0,0,42,4,12
0,Goblet,HY_p,0,0,0,0,0,12,11,54,0,5,Goblet,HP_p,478,14,0,0,11,19,0,0,0,0
2,Goblet,AN_p,538,54,32,0,0,0,0,19,0,0,Goblet,PY_p,0,0,21,13,6,24,0,0,0,0
3,Goblet,HP_p,448,0,81,0,0,7,5,0,0,0,Goblet,HP_p,717,39,0,0,0,17,0,0,3,0
7,Goblet,DF_p,717,49,0,0,4,0,0,0,0,14,Goblet,AK_p,866,19,49,0,0,0,0,0,0,6
5,Goblet,CY_p,986,19,0,0,0,0,12,0,3,0,Goblet,HP_p,0,0,46,0,17,0,0,19,4,0
74,Goblet,AK_p,0,0,0,10,0,10,12,0,0,12,Goblet,EL_p,0,0,0,4,17,20,5,0,0,0
0,Goblet,AN_p,0,19,0,4,0,0,22,0,0,18,Goblet,GE_p,0,0,42,12,0,0,0,16,0,20
1,Goblet,AK_p,0,51,0,0,0,0,0,75,3,7,Goblet,EL_p,837,0,23,16,0,0,0,0,0,5
9,Goblet,HP_p,866,0,0,0,0,14,5,0,6,0,Goblet,DF_p,0,16,0,0,10,0,0,0,4,25
42,Goblet,AK_p,986,0,0,0,0,14,11,0,3,0,Goblet,DF_p,209,0,39,0,0,0,0,0,7,19
3,Goblet,AK_p,0,0,60,0,0,10,10,0,0,8,Goblet,AK_p,0,0,35,6,0,14,0,0,0,19
1,Goblet,HP_p,448,29,0,0,0,0,12,47,0,0,Goblet,DF_p,0,37,35,8,0,0,0,0,6,0
10,Goblet,DF_p,508,16,0,0,0,0,0,37,0,19,Goblet,AK_p,986,18,0,0,0,10,6,0,0,0
4,Goblet,HY_p,0,33,0,0,0,0,12,49,3,0,Goblet,DF_p,478,0,0,0,0,0,6,84,4,0
9,Goblet,AK_p,0,54,42,0,0,0,10,0,4,0,Goblet,AK_p,239,0,0,6,0,0,0,63,0,21
21,Goblet,DF_p,568,14,37,0,0,0,0,0,0,18,Goblet,AK_p,299,16,37,0,0,0,0,0,13,0
5,Goblet,EM_f,0,70,23,0,8,0,10,0,0,0,Goblet,GE_p,0,49,21,4,0,0,0,0,0,22
23,Goblet,PH_p,0,51,19,0,15,7,0,0,0,0,Goblet,DF_p,0,51,39,0,9,0,0,0,7,0
0,Goblet,HP_p,0,37,19,0,5,21,0,0,0,0,Goblet,CY_p,0,18,42,0,17,0,0,23,0,0
2,Goblet,HP_p,239,19,58,0,21,0,0,0,0,0,Goblet,AK_p,0,33,39,0,0,0,0,0,7,12
4,Goblet,HP_p,717,0,0,0,0,13,0,40,7,0,Goblet,AK_p,0,31,23,17,0,0,10,0,0,0
3,Goblet,HY_p,0,51,21,0,0,0,11,44,0,0,Goblet,PY_p,0,33,0,13,0,0,12,0,3,0
11,Goblet,DF_p,0,18,35,0,17,0,0,0,6,0,Goblet,AK_p,0,35,60,8,0,0,6,0,0,0
9,Goblet,DF_p,0,29,0,13,0,0,10,0,0,8,Goblet,HP_p,0,0,0,0,0,7,12,47,10,0
2,Goblet,AN_p,478,39,0,0,0,0,0,72,0,7,Goblet,HP_p,0,35,0,0,4,0,0,37,10,0
1,Goblet,HP_p,0,29,56,0,0,7,0,0,7,0,Goblet,AK_p,0,68,39,4,0,15,0,0,0,0
21,Goblet,DF_p,538,31,42,0,8,0,0,0,0,0,Goblet,AK_p,0,0,0,8,0,12,16,0,7,0
7,Goblet,DF_p,1076,19,39,0,5,0,0,0,0,0,Goblet,HP_p,687,31,42,0,0,0,0,0,3,0
4,Goblet,HP_p,508,0,21,0,13,0,13,0,0,0,Goblet,GE_p,0,0,35,0,0,12,0,19,0,19
7,Goblet,GE_p,0,0,62,11,4,0,0,0,6,0,Goblet,HY_p,0,0,42,5,0,11,0,0,11,0
59,Goblet,DF_p,239,54,0,0,5,0,0,0,0,18,Goblet,PY_p,0,0,42,0,17,0,0,16,7,0
17,Goblet,HY_p,239,0,0,0,10,5,21,0,0,0,Goblet,PY_p,807,0,0,0,6,0,0,16,12,0
23,Goblet,AN_p,0,33,62,0,9,0,0,0,0,5,Goblet,PY_p,0,0,46,0,0,0,5,37,0,18
1,Goblet,PH_p,747,0,35,0,0,13,0,0,0,8,Goblet,EL_p,0,0,16,15,0,0,12,0,8,0
33,Goblet,AK_p,717,0,16,0,0,0,0,23,10,0,Goblet,EL_p,0,0,21,19,0,0,0,0,8,6
5,Goblet,AK_p,0,35,0,0,0,12,0,44,0,16,Goblet,AK_p,836,0,21,0,0,0,5,0,0,25
1,Goblet,PH_p,717,31,0,0,0,0,6,37,0,0,Goblet,AK_p,269,0,0,9,0,0,17,42,0,0
7,Goblet,DF_p,0,35,21,0,10,0,16,0,0,0,Goblet,AK_p,807,16,62,5,0,0,0,0,0,0
4,Goblet,HP_p,478,53,0,0,0,0,10,0,0,7,Goblet,PH_p,508,37,0,0,15,0,6,0,0,0
66,Goblet,AK_p,508,0,0,13,0,0,0,19,6,0,Goblet,EL_p,568,27,0,0,0,14,12,0,0,0
21,Goblet,AK_p,269,0,39,20,0,0,0,0,0,13,Goblet,AK_p,269,0,51,0,0,0,0,0,7,13
5,Goblet,AK_p,0,27,58,6,0,20,0,0,0,0,Goblet,DF_p,0,0,21,0,0,0,5,35,0,31
16,Goblet,HY_p,0,18,37,0,0,15,0,0,0,21,Goblet,EL_p,0,14,51,6,0,19,0,0,0,0
5,Goblet,DF_p,0,0,58,0,15,0,6,21,0,0,Goblet,HP_p,0,53,37,0,0,0,0,0,7,15
3,Goblet,CY_p,508,0,23,0,16,0,0,0,7,0,Goblet,AK_p,239,0,23,0,0,26,10,0,0,0
7,Goblet,HP_p,269,62,0,0,0,0,12,0,0,12,Goblet,AK_p,538,19,0,0,0,0,23,0,0,12
0,Goblet,HP_p,0,33,0,0,0,21,5,0,7,0,Goblet,HP_p,448,0,0,0,0,0,17,21,0,18
9,Goblet,HP_p,448,0,0,0,6,0,0,56,0,14,Goblet,AK_p,239,0,0,15,0,0,0,63,3,0
22,Goblet,AK_p,0,29,23,0,0,0,22,0,4,0,Goblet,HP_p,0,19,19,0,0,0,0,0,10,18
7,Goblet,DF_p,0,0,0,15,0,0,11,37,3,0,Goblet,AN_p,0,0,23,0,0,17,6,0,0,21
2,Goblet,PY_p,0,33,0,17,0,5,0,0,7,0,Goblet,PH_p,0,16,0,13,10,0,0,0,0,14
34,Goblet,AK_p,0,66,21,0,0,0,6,0,6,0,Goblet,PH_p,0,0,0,0,4,0,0,40,7,22
13,Goblet,AK_p,0,0,0,0,0,5,12,40,11,0,Goblet,EL_p,0,27,0,13,0,12,0,0,7,0
0,Goblet,DF_p,0,18,35,16,10,0,0,0,0,0,Goblet,AK_p,239,35,74,6,0,0,0,0,0,0
29,Goblet,PY_p,0,0,86,0,0,0,0,42,8,5,Goblet,AK_p,269,0,19,0,0,0,17,54,0,0
16,Goblet,PH_p,0,0,60,10,0,0,0,61,0,8,Goblet,DF_p,0,49,32,0,0,0,0,42,7,0
5,Goblet,AN_p,269,0,39,0,16,0,0,0,0,14,Goblet,GE_p,448,0,37,0,0,0,0,0,9,8
8,Goblet,PH_p,0,14,97,0,0,0,5,0,0,13,Goblet,CY_p,0,37,0,4,0,0,0,19,0,29
0,Goblet,EM_f,807,19,62,0,0,0,0,0,0,5,Goblet,PH_p,0,0,0,5,0,0,10,61,7,0
1,Goblet,DF_p,448,47,23,0,9,0,0,0,0,0,Goblet,HP_p,0,33,39,0,15,0,0,0,0,6
6,Goblet,AK_p,299,49,32,16,0,0,0,0,0,0,Goblet,HP_p,0,0,0,0,12,0,10,0,7,12
2,Goblet,PH_p,0,56,0,0,0,5,0,40,7,0,Goblet,HP_p,209,54,0,0,0,0,5,0,0,23
3,Goblet,HP_p,0,33,42,0,0,12,0,61,0,0,Goblet,PY_p,538,0,42,0,0,0,0,56,3,0
88,Goblet,AK_p,0,19,0,9,0,0,6,75,0,0,Goblet,AK_p,598,0,35,0,0,12,0,0,0,13
7,Goblet,GE_p,657,18,0,0,10,0,0,42,0,0,Goblet,DF_p,0,29,0,10,12,0,10,0,0,0
47,Goblet,DF_p,866,14,0,0,0,0,0,0,10,13,Goblet,HP_p,0,0,0,0,10,7,0,0,7,19
8,Goblet,HP_p,0,16,0,0,20,12,5,0,0,0,Goblet,DF_p,0,0,16,9,20,0,0,0,0,8
28,Goblet,HP_p,866,0,0,0,0,0,5,42,0,23,Goblet,AK_p,0,47,0,0,0,0,5,16,0,19
20,Goblet,CY_p,209,47,0,0,11,0,0,0,7,0,Goblet,CY_p,0,0,0,0,11,6,0,35,10,0
85,Goblet,AK_p,0,31,0,0,0,5,16,0,0,22,Goblet,EL_p,209,35,0,0,0,0,17,0,0,15
41,Goblet,EL_p,448,33,0,0,4,0,22,0,0,0,Goblet,EL_p,0,0,0,10,0,5,10,0,0,22
33,Goblet,AK_p,478,49,39,0,0,6,0,0,0,0,Goblet,PH_p,0,0,44,0,0,6,0,0,10,16
3,Goblet,DF_p,0,27,0,6,0,0,0,44,0,21,Goblet,EL_p,0,33,0,0,10,6,0,0,10,0
0,Goblet,DF_p,598,68,0,0,5,0,9,0,0,0,Goblet,AK_p,1016,29,0,0,0,12,0,0,3,0
4,Goblet,AN_p,478,58,0,0,5,12,0,0,0,0,Goblet,HY_p,0,33,58,0,0,12,0,0,7,0
1,Goblet,HP_p,239,18,46,0,0,0,0,77,0,0,Goblet,CY_p,568,33,37,0,0,0,0,0,7,0
2,Goblet,HP_p,568,27,0,0,0,12,0,0,6,0,Goblet,DF_p,0,0,0,0,10,0,0,21,9,13
5,Goblet,AK_p,0,53,23,0,0,0,16,16,0,0,Goblet,EL_p,0,0,72,0,0,17,5,0,4,0
0,Goblet,DF_p,0,18,58,16,0,0,5,0,0,0,Goblet,HP_p,0,0,0,0,5,0,5,35,0,26
113,Goblet,EL_p,568,0,0,8,0,7,0,61,0,0,Goblet,EL_p,0,18,51,9,11,0,0,0,0,0
0,Goblet,AN_p,747,18,0,0,0,0,0,40,7,0,Goblet,AK_p,1076,16,0,0,0,0,0,0,5,8
0,Goblet,PY_p,0,0,0,4,14,0,0,63,0,7,Goblet,DF_p,0,14,42,0,0,0,0,0,7,20
9,Goblet,HP_p,508,0,81,0,0,0,5,0,4,0,Goblet,AK_p,269,45,39,15,0,0,0,0,0,0
24,Goblet,PH_p,0,29,0,6,10,0,0,0,11,0,Goblet,AK_p,717,0,0,0,0,12,6,0,6,0
18,Goblet,DF_p,508,0,44,0,5,0,0,0,11,0,Goblet,CY_p,0,37,0,0,4,0,0,23,0,28
2,Goblet,DF_p,299,31,0,0,0,0,12,54,0,0,Goblet,AN_p,538,29,0,6,0,0,0,0,9,0
6,Goblet,HP_p,568,0,0,0,6,19,9,0,0,0,Goblet,DF_p,777,31,44,0,10,0,0,0,0,0
53,Goblet,AK_p,0,0,19,0,0,7,0,58,0,19,Goblet,EL_p,747,56,0,0,0,5,0,0,3,0
0,Goblet,DF_p,448,18,0,0,0,0,16,0,6,0,Goblet,AK_p,209,33,42,0,0,0,16,0,0,0
8,Goblet,AK_p,538,49,39,0,0,0,0,19,0,0,Goblet,EL_p,269,49,0,0,6,0,0,0,0,20
6,Goblet,EM_f,627,16,0,0,19,0,6,0,0,0,Goblet,PH_p,0,0,42,0,10,0,0,0,6,17
11,Goblet,EM_f,0,0,16,0,0,18,10,0,0,19,Goblet,AK_p,0,54,0,0,0,6,16,0,0,5
24,Goblet,AK_p,0,0,0,15,0,20,0,16,0,8,Goblet,HP_p,0,39,0,0,0,0,5,0,7,19
13,Goblet,HP_p,717,35,0,0,0,0,12,0,3,0,Goblet,DF_p,269,53,0,0,0,0,12,0,8,0
0,Goblet,AN_p,0,0,51,0,0,21,5,0,0,7,Goblet,AK_p,807,0,16,0,0,6,17,0,0,0
58,Goblet,AK_p,0,64,21,0,0,0,5,0,7,0,Goblet,EL_p,0,16,0,0,0,17,17,0,0,8
7,Goblet,PY_p,1076,14,0,0,0,7,0,37,0,0,Goblet,AK_p,0,0,44,0,0,0,11,16,9,0
7,Goblet,HP_p,0,56,16,0,0,19,0,19,0,0,Goblet,HP_p,299,0,0,0,0,26,0,42,5,0
224,Goblet,EL_p,0,33,39,0,0,0,13,0,6,0,Goblet,EL_p,777,0,0,0,9,0,12,0,7,0
