NumRuns,ArtAType,ArtAMainstat,HP_f_A,AK_f_A,DF_f_A,HP_p_A,AK_p_A,DF_p_A,ER_p_A,EM_f_A,CR_p_A,CD_p_A,ArtBType,ArtBMainstat,HP_f_B,AK_f_B,DF_f_B,HP_p_B,AK_p_B,DF_p_B,ER_p_B,EM_f_B,CR_p_B,CD_p_B
11,Goblet,HP_p,0,29,35,0,0,12,0,0,7,0,Goblet,HP_p,0,0,0,0,5,0,12,54,0,14
1,Goblet,HY_p,1016,0,0,5,10,0,10,0,0,0,Goblet,DF_p,0,35,39,8,0,0,0,0,0,13
3,Goblet,DF_p,0,0,39,10,0,0,11,0,7,0,Goblet,AK_p,747,0,23,0,0,6,16,0,0,0
5,Goblet,AN_p,627,19,56,0,0,0,0,21,0,0,Goblet,DF_p,0,0,39,6,9,0,0,49,0,0
1,Goblet,HP_p,627,51,19,0,0,7,0,0,0,0,Goblet,AK_p,0,47,44,0,0,0,0,0,7,12
30,Goblet,AK_p,0,47,39,0,0,12,0,0,0,8,Goblet,AK_p,807,16,0,0,0,0,0,40,0,13
14,Goblet,AK_p,0,53,0,0,0,0,9,19,7,0,Goblet,EL_p,478,31,0,0,0,0,13,0,7,0
18,Goblet,HP_p,0,0,0,0,11,0,0,19,10,12,Goblet,AK_p,0,29,0,0,0,20,0,0,6,8
1,Goblet,GE_p,538,0,44,0,0,0,10,42,0,0,Goblet,AN_p,478,0,0,4,0,0,0,0,8,20
14,Goblet,DF_p,209,0,0,0,0,0,0,40,6,28,Goblet,AK_p,0,37,0,9,0,0,0,16,10,0
31,Goblet,AK_p,239,37,37,0,0,20,0,0,0,0,Goblet,AK_p,866,0,46,0,0,11,0,0,6,0
4,Goblet,DF_p,209,45,0,0,0,0,12,42,0,0,Goblet,HP_p,717,0,42,0,0,0,10,0,4,0
8,Goblet,PH_p,239,19,0,0,13,0,16,0,0,0,Goblet,PH_p,0,0,39,0,0,0,5,44,9,0
0,Goblet,HY_p,0,31,0,0,0,0,11,23,10,0,Goblet,AK_p,568,0,56,0,0,15,0,0,3,0
4,Goblet,GE_p,0,64,0,10,0,0,0,16,3,0,Goblet,AK_p,0,60,0,11,0,7,0,0,3,0
16,Goblet,AK_p,0,14,81,0,0,7,10,0,0,0,Goblet,DF_p,0,0,23,5,0,0,0,0,13,12
17,Goblet,HP_p,508,14,74,0,0,0,0,0,0,6,Goblet,GE_p,0,18,0,0,9,0,16,0,7,0
32,Goblet,CY_p,0,53,46,0,10,0,5,0,0,0,Goblet,HP_p,508,29,37,0,0,0,0,0,0,15
6,Goblet,DF_p,0,45,21,0,0,0,0,65,3,0,Goblet,HY_p,269,0,0,9,0,18,0,0,0,16
63,Goblet,HP_p,418,0,62,0,0,0,0,0,7,12,Goblet,AK_p,687,16,0,0,0,0,0,63,4,0
20,Goblet,AK_p,0,0,37,10,0,0,0,37,6,0,Goblet,EL_p,538,0,0,6,9,0,0,0,0,21
0,Goblet,AK_p,0,45,37,0,0,0,11,0,4,0,Goblet,EL_p,209,47,0,5,0,17,0,0,0,0
4,Goblet,HP_p,0,0,39,0,10,0,0,0,4,18,Goblet,EL_p,0,0,42,9,10,0,0,0,0,13
17,Goblet,AK_p,0,56,49,0,0,0,5,0,0,7,Goblet,PY_p,299,27,0,0,0,0,0,0,6,20
27,Goblet,PH_p,0,35,16,0,0,0,0,0,9,13,Goblet,AK_p,0,14,37,0,0,0,24,0,4,0
12,Goblet,CY_p,0,14,0,0,10,0,0,65,0,13,Goblet,AK_p,0,0,39,0,0,18,0,42,3,0
15,Goblet,DF_p,0,35,0,0,5,0,0,51,0,15,Goblet,HP_p,0,16,76,0,10,0,0,0,7,0
5,Goblet,DF_p,777,14,60,0,6,0,0,0,0,0,Goblet,GE_p,0,0,0,12,9,0,11,37,0,0
1,Goblet,AN_p,269,39,0,0,0,0,14,0,0,19,Goblet,DF_p,448,0,32,0,0,0,6,0,10,0
2,Goblet,AK_p,0,0,42,0,0,7,15,0,10,0,Goblet,EL_p,299,0,0,20,0,0,0,40,0,7
6,Goblet,HP_p,209,64,0,0,0,0,6,44,0,0,Goblet,HP_p,478,70,0,0,0,0,0,0,4,6
41,Goblet,HP_p,269,49,0,0,0,7,0,0,0,19,Goblet,HP_p,1016,0,0,0,0,0,6,0,9,8
9,Goblet,AK_p,448,49,32,11,0,0,0,0,0,0,Goblet,PH_p,0,19,56,0,0,0,0,0,6,12
42,Goblet,HP_p,0,0,0,0,5,20,0,0,7,13,Goblet,AK_p,0,0,0,8,0,12,0,58,0,15
23,Goblet,AK_p,418,16,37,0,0,19,0,0,0,0,Goblet,AK_p,0,0,21,10,0,15,0,0,10,0
109,Goblet,EL_p,269,0,37,0,0,0,0,65,0,12,Goblet,EL_p,0,0,0,6,0,0,10,54,7,0
9,Goblet,DF_p,269,0,37,0,8,0,0,61,0,0,Goblet,PH_p,568,0,0,0,17,7,0,19,0,0
4,Goblet,DF_p,209,0,0,0,0,0,0,86,3,12,Goblet,HP_p,448,14,0,0,0,12,0,0,11,0
13,Goblet,HP_p,0,0,39,0,0,0,10,23,10,0,Goblet,AK_p,0,0,23,5,0,18,0,56,0,0
6,Goblet,HP_p,777,18,0,0,0,0,10,47,0,0,Goblet,DF_p,0,0,19,0,0,0,5,63,0,21
57,Goblet,EL_p,269,0,0,10,6,26,0,0,0,0,Goblet,EL_p,299,0,39,0,15,0,10,0,0,0
68,Goblet,AK_p,0,35,0,20,0,0,0,0,4,13,Goblet,EL_p,598,0,37,0,15,0,5,0,0,0
46,Goblet,DF_p,299,0,0,16,5,0,0,0,9,0,Goblet,DF_p,269,16,0,0,15,0,0,0,0,19
8,Goblet,AN_p,0,47,23,0,15,7,0,0,0,0,Goblet,AN_p,0,0,35,0,0,0,11,37,10,0
51,Goblet,HP_p,239,0,16,0,21,0,0,0,11,0,Goblet,AK_p,717,18,0,0,0,0,0,0,10,13
12,Goblet,HY_p,478,0,0,0,9,13,0,0,0,11,Goblet,AK_p,478,45,0,10,0,0,5,0,0,0
4,Goblet,CY_p,269,0,0,0,10,23,0,0,4,0,Goblet,AK_p,508,51,0,0,0,0,12,16,0,0
10,Goblet,HY_p,0,19,37,0,0,27,0,19,0,0,Goblet,HY_p,777,51,0,0,0,0,0,23,0,5
8,Goblet,AK_p,0,33,0,15,0,5,0,0,0,22,Goblet,EL_p,0,31,0,0,0,19,0,19,10,0
5,Goblet,HP_p,508,18,0,0,0,25,5,0,0,0,Goblet,AK_p,0,35,0,0,0,0,10,58,0,15
